category,subcategory,merchant_name,amount,transaction_type,description,frequency,day_of_month,typical_hour,min_income,max_income,age_group,city_tier,lifestyle,is_emi,is_subscription,is_fraud_pattern,fraud_type,seasonal_tag
shopping,retail,Nykaa,549.0,DEBIT,Nykaa — Shopping,random,,21,16000.0,100000.0,35-45,2,moderate,False,False,False,,
subscription,ott_or_saas,Kindle Unlimited,149.0,DEBIT,Auto-debit subscription renewal,monthly,28,22,75000.0,360000.0,45-55,2,premium,False,True,False,,
festival,holi,Big Bazaar Holi,3575.0,DEBIT,Seasonal spend (holi),seasonal,,18,20000.0,104000.0,35-45,2,moderate,False,False,False,,holi
food,dining,Starbucks India,549.0,DEBIT,Starbucks India — Food,random,,15,32000.0,187500.0,35-45,1,premium,False,False,False,,
transport,mobility,Uber India,752.0,DEBIT,Uber India — Transport,random,,9,32000.0,187500.0,28-35,1,premium,False,False,False,,
shopping,retail,Nykaa,3060.0,DEBIT,Nykaa — Shopping,random,,13,10000.0,50000.0,22-28,2,budget,False,False,False,,
subscription,ott_or_saas,YouTube Premium India,109.0,DEBIT,Auto-debit subscription renewal,monthly,15,12,75000.0,360000.0,45-55,1,premium,False,True,False,,
festival,new_year,MakeMyTrip NY Travel,3966.0,DEBIT,Seasonal spend (new_year),seasonal,,21,40000.0,195000.0,28-35,1,premium,False,False,False,,new_year
festival,diwali,Local Sweet Shop,5553.0,DEBIT,Seasonal spend (diwali),seasonal,,18,20000.0,104000.0,35-45,1,moderate,False,False,False,,diwali
entertainment,leisure,Insider.in Events,4144.0,DEBIT,Insider.in Events — Entertainment,random,,11,32000.0,187500.0,35-45,1,premium,False,False,False,,
shopping,retail,Croma Retail,29836.0,DEBIT,Croma Retail — Shopping,random,,15,16000.0,100000.0,22-28,2,moderate,False,False,False,,
health,wellness,Apollo Pharmacy,1111.0,DEBIT,Apollo Pharmacy — Health,random,,21,16000.0,100000.0,28-35,2,moderate,False,False,False,,
